"Date","Price","Open","High","Low","Vol.","Change %"
"09-01-2026","37,455.92","37,455.92","37,455.92","37,455.92","","-0.90%"
"08-01-2026","37,795.55","37,795.55","37,795.55","37,795.55","","-1.40%"
"07-01-2026","38,332.63","38,332.63","38,332.63","38,332.63","","0.03%"
"06-01-2026","38,322.83","38,322.83","38,322.83","38,322.83","","-0.20%"
"05-01-2026","38,399.37","38,399.37","38,399.37","38,399.37","","-0.17%"
"02-01-2026","38,464.10","38,464.10","38,464.10","38,464.10","","0.79%"
"01-01-2026","38,161.77","38,161.77","38,161.77","38,161.77","","0.16%"
"31-12-2025","38,101.06","38,101.06","38,101.06","38,101.06","","0.86%"
"30-12-2025","37,777.45","37,777.45","37,777.45","37,777.45","","-0.06%"
"29-12-2025","37,798.74","37,798.74","37,798.74","37,798.74","","-0.41%"
"26-12-2025","37,955.38","37,955.38","37,955.38","37,955.38","","-0.29%"
"24-12-2025","38,067.12","38,067.12","38,067.12","38,067.12","","-0.19%"
"23-12-2025","38,138.72","38,138.72","38,138.72","38,138.72","","0.12%"
"22-12-2025","38,094.83","38,094.83","38,094.83","38,094.83","","0.80%"
"19-12-2025","37,791.42","37,791.42","37,791.42","37,791.42","","0.79%"
"18-12-2025","37,494.35","37,494.35","37,494.35","37,494.35","","-0.02%"
"17-12-2025","37,501.66","37,501.66","37,501.66","37,501.66","","-0.31%"
"16-12-2025","37,619.88","37,619.88","37,619.88","37,619.88","","-0.65%"
"15-12-2025","37,867.37","37,867.37","37,867.37","37,867.37","","0.00%"
"12-12-2025","37,869.00","37,869.00","37,869.00","37,869.00","","0.74%"
"11-12-2025","37,589.10","37,589.10","37,589.10","37,589.10","","0.61%"
"10-12-2025","37,362.36","37,362.36","37,362.36","37,362.36","","-0.46%"
"09-12-2025","37,533.89","37,533.89","37,533.89","37,533.89","","-0.04%"
"08-12-2025","37,549.77","37,549.77","37,549.77","37,549.77","","-1.30%"
"05-12-2025","38,043.05","38,043.05","38,043.05","38,043.05","","0.40%"
"04-12-2025","37,892.73","37,892.73","37,892.73","37,892.73","","0.10%"
