IndexName,date,nav
NIFTY SMALLCAP 250,02-Jan-23,11921.56
NIFTY SMALLCAP 250,03-Jan-23,11938.69
NIFTY SMALLCAP 250,04-Jan-23,11831.81
NIFTY SMALLCAP 250,05-Jan-23,11830.08
NIFTY SMALLCAP 250,06-Jan-23,11739.3
NIFTY SMALLCAP 250,09-Jan-23,11785.94
NIFTY SMALLCAP 250,10-Jan-23,11728.37
NIFTY SMALLCAP 250,11-Jan-23,11734.87
NIFTY SMALLCAP 250,12-Jan-23,11742.6
NIFTY SMALLCAP 250,13-Jan-23,11776.12
NIFTY SMALLCAP 250,16-Jan-23,11769.89
NIFTY SMALLCAP 250,17-Jan-23,11753.25
NIFTY SMALLCAP 250,18-Jan-23,11760.89
NIFTY SMALLCAP 250,19-Jan-23,11726.97
NIFTY SMALLCAP 250,20-Jan-23,11662.19
NIFTY SMALLCAP 250,23-Jan-23,11645.85
NIFTY SMALLCAP 250,24-Jan-23,11599.7
NIFTY SMALLCAP 250,25-Jan-23,11496.66
NIFTY SMALLCAP 250,27-Jan-23,11286.79
NIFTY SMALLCAP 250,30-Jan-23,11264.03
NIFTY SMALLCAP 250,31-Jan-23,11560.07
NIFTY SMALLCAP 250,01-Feb-23,11428.21
NIFTY SMALLCAP 250,02-Feb-23,11478.31
NIFTY SMALLCAP 250,03-Feb-23,11436.68
NIFTY SMALLCAP 250,06-Feb-23,11466.14
NIFTY SMALLCAP 250,07-Feb-23,11425.32
NIFTY SMALLCAP 250,08-Feb-23,11514.08
NIFTY SMALLCAP 250,09-Feb-23,11485.25
NIFTY SMALLCAP 250,10-Feb-23,11542.88
NIFTY SMALLCAP 250,13-Feb-23,11406.13
NIFTY SMALLCAP 250,14-Feb-23,11346.64
NIFTY SMALLCAP 250,15-Feb-23,11392.68
NIFTY SMALLCAP 250,16-Feb-23,11484.69
NIFTY SMALLCAP 250,17-Feb-23,11446.12
NIFTY SMALLCAP 250,20-Feb-23,11410.34
NIFTY SMALLCAP 250,21-Feb-23,11370.49
NIFTY SMALLCAP 250,22-Feb-23,11242.71
NIFTY SMALLCAP 250,23-Feb-23,11263.59
NIFTY SMALLCAP 250,24-Feb-23,11245.2
NIFTY SMALLCAP 250,27-Feb-23,11112.98
NIFTY SMALLCAP 250,28-Feb-23,11151.53
NIFTY SMALLCAP 250,01-Mar-23,11290.11
NIFTY SMALLCAP 250,02-Mar-23,11280.17
NIFTY SMALLCAP 250,03-Mar-23,11359.6
NIFTY SMALLCAP 250,06-Mar-23,11476.38
NIFTY SMALLCAP 250,08-Mar-23,11507.23
NIFTY SMALLCAP 250,09-Mar-23,11469.03
NIFTY SMALLCAP 250,10-Mar-23,11386.82
NIFTY SMALLCAP 250,13-Mar-23,11149.91
NIFTY SMALLCAP 250,14-Mar-23,11050.18
NIFTY SMALLCAP 250,15-Mar-23,11070.43
NIFTY SMALLCAP 250,16-Mar-23,10993.03
NIFTY SMALLCAP 250,17-Mar-23,11065.91
NIFTY SMALLCAP 250,20-Mar-23,10971.18
NIFTY SMALLCAP 250,21-Mar-23,11022.08
NIFTY SMALLCAP 250,22-Mar-23,11083.56
NIFTY SMALLCAP 250,23-Mar-23,11049.68
NIFTY SMALLCAP 250,24-Mar-23,10882.04
NIFTY SMALLCAP 250,27-Mar-23,10719.34
NIFTY SMALLCAP 250,28-Mar-23,10634.51
NIFTY SMALLCAP 250,29-Mar-23,10815.74
