,IndexName,Date,Total Returns Index,Net Total Return Index
0,NIFTY 50,31 Dec 2010,7698.29,7423.89
1,NIFTY 50,30 Dec 2010,7657.38,7384.42
2,NIFTY 50,29 Dec 2010,7605.29,7334.2
3,NIFTY 50,28 Dec 2010,7524.52,7256.31
4,NIFTY 50,27 Dec 2010,7527.17,7258.85
5,NIFTY 50,24 Dec 2010,7543.8,7274.88
6,NIFTY 50,23 Dec 2010,7504.13,7236.64
7,NIFTY 50,22 Dec 2010,7509.68,7241.98
8,NIFTY 50,21 Dec 2010,7530.04,7261.61
9,NIFTY 50,20 Dec 2010,7462.81,7196.77
10,NIFTY 50,16 Dec 2010,7461.32,7195.21
11,NIFTY 50,15 Dec 2010,7390.53,7126.94
12,NIFTY 50,14 Dec 2010,7455.48,7189.58
13,NIFTY 50,13 Dec 2010,7409.77,7145.51
14,NIFTY 50,10 Dec 2010,7346.68,7084.67
15,NIFTY 50,09 Dec 2010,7232.7,6974.75
16,NIFTY 50,08 Dec 2010,7404.78,7140.68
17,NIFTY 50,07 Dec 2010,7496.19,7228.83
18,NIFTY 50,06 Dec 2010,7515.86,7247.81
19,NIFTY 50,03 Dec 2010,7516.53,7248.45
20,NIFTY 50,02 Dec 2010,7540.24,7271.32
21,NIFTY 50,01 Dec 2010,7476.57,7209.91
22,NIFTY 50,30 Nov 2010,7353.36,7091.1
23,NIFTY 50,29 Nov 2010,7312.38,7051.59
24,NIFTY 50,26 Nov 2010,7214.47,6957.17
25,NIFTY 50,25 Nov 2010,7274.4,7014.96
26,NIFTY 50,24 Nov 2010,7357.21,7094.82
27,NIFTY 50,23 Nov 2010,7443.73,7178.25
28,NIFTY 50,22 Nov 2010,7538.12,7269.28
29,NIFTY 50,19 Nov 2010,7388.0,7124.51
30,NIFTY 50,18 Nov 2010,7524.11,7255.76
31,NIFTY 50,16 Nov 2010,7511.38,7243.49
32,NIFTY 50,15 Nov 2010,7678.13,7404.29
33,NIFTY 50,12 Nov 2010,7615.47,7343.87
34,NIFTY 50,11 Nov 2010,7769.23,7492.13
35,NIFTY 50,10 Nov 2010,7871.4,7590.66
36,NIFTY 50,09 Nov 2010,7903.81,7621.92
37,NIFTY 50,08 Nov 2010,7868.23,7587.61
38,NIFTY 50,05 Nov 2010,7917.48,7635.1
39,NIFTY 50,04 Nov 2010,7879.02,7598.02
40,NIFTY 50,03 Nov 2010,7726.88,7451.3
41,NIFTY 50,02 Nov 2010,7674.81,7401.09
42,NIFTY 50,01 Nov 2010,7673.05,7399.39
43,NIFTY 50,29 Oct 2010,7546.4,7277.21
