,IndexName,Date,Total Returns Index
0,NIFTY MIDCAP 150,31 Dec 2010,2954.59
1,NIFTY MIDCAP 150,30 Dec 2010,2918.76
2,NIFTY MIDCAP 150,29 Dec 2010,2898.07
3,NIFTY MIDCAP 150,28 Dec 2010,2881.17
4,NIFTY MIDCAP 150,27 Dec 2010,2883.27
5,NIFTY MIDCAP 150,24 Dec 2010,2893.2
6,NIFTY MIDCAP 150,23 Dec 2010,2883.86
7,NIFTY MIDCAP 150,22 Dec 2010,2891.62
8,NIFTY MIDCAP 150,21 Dec 2010,2889.76
9,NIFTY MIDCAP 150,20 Dec 2010,2865.92
10,NIFTY MIDCAP 150,16 Dec 2010,2876.42
11,NIFTY MIDCAP 150,15 Dec 2010,2876.25
12,NIFTY MIDCAP 150,14 Dec 2010,2921.16
13,NIFTY MIDCAP 150,13 Dec 2010,2883.6
14,NIFTY MIDCAP 150,10 Dec 2010,2831.09
15,NIFTY MIDCAP 150,09 Dec 2010,2777.26
16,NIFTY MIDCAP 150,08 Dec 2010,2902.83
17,NIFTY MIDCAP 150,07 Dec 2010,2958.77
18,NIFTY MIDCAP 150,06 Dec 2010,2991.74
19,NIFTY MIDCAP 150,03 Dec 2010,3004.76
20,NIFTY MIDCAP 150,02 Dec 2010,3074.05
21,NIFTY MIDCAP 150,01 Dec 2010,3048.21
22,NIFTY MIDCAP 150,30 Nov 2010,2958.68
23,NIFTY MIDCAP 150,29 Nov 2010,2919.46
24,NIFTY MIDCAP 150,26 Nov 2010,2891.77
25,NIFTY MIDCAP 150,25 Nov 2010,2960.93
26,NIFTY MIDCAP 150,24 Nov 2010,3033.04
27,NIFTY MIDCAP 150,23 Nov 2010,3082.83
28,NIFTY MIDCAP 150,22 Nov 2010,3110.43
29,NIFTY MIDCAP 150,19 Nov 2010,3069.04
30,NIFTY MIDCAP 150,18 Nov 2010,3128.93
31,NIFTY MIDCAP 150,16 Nov 2010,3143.12
32,NIFTY MIDCAP 150,15 Nov 2010,3206.28
33,NIFTY MIDCAP 150,12 Nov 2010,3197.0
34,NIFTY MIDCAP 150,11 Nov 2010,3276.48
