IndexName,Date,Total Returns Index
NIFTY SMALLCAP 250,4-Jan-10,2832.33
NIFTY SMALLCAP 250,5-Jan-10,2857.02
NIFTY SMALLCAP 250,6-Jan-10,2875.74
NIFTY SMALLCAP 250,7-Jan-10,2891.15
NIFTY SMALLCAP 250,8-Jan-10,2900.44
NIFTY SMALLCAP 250,11-Jan-10,2943.89
NIFTY SMALLCAP 250,12-Jan-10,2914.95
NIFTY SMALLCAP 250,13-Jan-10,2934.73
NIFTY SMALLCAP 250,14-Jan-10,2969.39
NIFTY SMALLCAP 250,15-Jan-10,2987.06
NIFTY SMALLCAP 250,18-Jan-10,3006.89
NIFTY SMALLCAP 250,19-Jan-10,2994.23
NIFTY SMALLCAP 250,20-Jan-10,3000.35
NIFTY SMALLCAP 250,21-Jan-10,2926.52
NIFTY SMALLCAP 250,22-Jan-10,2896.99
NIFTY SMALLCAP 250,25-Jan-10,2867.83
NIFTY SMALLCAP 250,27-Jan-10,2742.84
NIFTY SMALLCAP 250,28-Jan-10,2743.27
NIFTY SMALLCAP 250,29-Jan-10,2772.52
NIFTY SMALLCAP 250,1-Feb-10,2815.32
NIFTY SMALLCAP 250,2-Feb-10,2788.66
NIFTY SMALLCAP 250,3-Feb-10,2826.11
NIFTY SMALLCAP 250,4-Feb-10,2782.45
NIFTY SMALLCAP 250,5-Feb-10,2701.67
NIFTY SMALLCAP 250,6-Feb-10,2744.66
NIFTY SMALLCAP 250,8-Feb-10,2734.54
NIFTY SMALLCAP 250,9-Feb-10,2751.86
NIFTY SMALLCAP 250,10-Feb-10,2748.04
NIFTY SMALLCAP 250,11-Feb-10,2773.29
NIFTY SMALLCAP 250,15-Feb-10,2757.98
NIFTY SMALLCAP 250,16-Feb-10,2768.48
NIFTY SMALLCAP 250,17-Feb-10,2789.5
NIFTY SMALLCAP 250,18-Feb-10,2777.85
NIFTY SMALLCAP 250,19-Feb-10,2738.19
NIFTY SMALLCAP 250,22-Feb-10,2717.07
NIFTY SMALLCAP 250,23-Feb-10,2692.94
NIFTY SMALLCAP 250,24-Feb-10,2681.11
NIFTY SMALLCAP 250,25-Feb-10,2673.54
NIFTY SMALLCAP 250,26-Feb-10,2702.12
NIFTY SMALLCAP 250,2-Mar-10,2759.07
NIFTY SMALLCAP 250,3-Mar-10,2791.35
NIFTY SMALLCAP 250,4-Mar-10,2810.18
NIFTY SMALLCAP 250,5-Mar-10,2827.45
NIFTY SMALLCAP 250,8-Mar-10,2852.24
NIFTY SMALLCAP 250,9-Mar-10,2827.73
NIFTY SMALLCAP 250,10-Mar-10,2823.46
NIFTY SMALLCAP 250,11-Mar-10,2812.13
NIFTY SMALLCAP 250,12-Mar-10,2808.41
NIFTY SMALLCAP 250,15-Mar-10,2781.36
NIFTY SMALLCAP 250,16-Mar-10,2812.26
NIFTY SMALLCAP 250,17-Mar-10,2816.14
NIFTY SMALLCAP 250,18-Mar-10,2819.71
NIFTY SMALLCAP 250,19-Mar-10,2829.99
NIFTY SMALLCAP 250,22-Mar-10,2806.65
NIFTY SMALLCAP 250,23-Mar-10,2815.11
NIFTY SMALLCAP 250,25-Mar-10,2816.69
NIFTY SMALLCAP 250,26-Mar-10,2824.34
NIFTY SMALLCAP 250,29-Mar-10,2817.26
NIFTY SMALLCAP 250,30-Mar-10,2839.57
NIFTY SMALLCAP 250,31-Mar-10,2857.15
NIFTY SMALLCAP 250,1-Apr-10,2904.77
NIFTY SMALLCAP 250,5-Apr-10,2942.44
NIFTY SMALLCAP 250,6-Apr-10,2950.82
NIFTY SMALLCAP 250,7-Apr-10,2968.09
NIFTY SMALLCAP 250,8-Apr-10,2959.16
NIFTY SMALLCAP 250,9-Apr-10,2990.51
NIFTY SMALLCAP 250,12-Apr-10,2997.59
NIFTY SMALLCAP 250,13-Apr-10,2990.1
NIFTY SMALLCAP 250,15-Apr-10,2989.14
NIFTY SMALLCAP 250,16-Apr-10,2979.93
NIFTY SMALLCAP 250,19-Apr-10,2930.44
NIFTY SMALLCAP 250,20-Apr-10,2971.69
NIFTY SMALLCAP 250,21-Apr-10,3005.67
NIFTY SMALLCAP 250,22-Apr-10,3004.39
NIFTY SMALLCAP 250,23-Apr-10,3018.24
NIFTY SMALLCAP 250,26-Apr-10,3028.76
NIFTY SMALLCAP 250,27-Apr-10,3028.04
NIFTY SMALLCAP 250,28-Apr-10,2971.95
NIFTY SMALLCAP 250,29-Apr-10,3003.3
NIFTY SMALLCAP 250,30-Apr-10,3020.24
NIFTY SMALLCAP 250,3-May-10,3006.12
NIFTY SMALLCAP 250,4-May-10,2961.44
NIFTY SMALLCAP 250,5-May-10,2953.96
NIFTY SMALLCAP 250,6-May-10,2953.41
NIFTY SMALLCAP 250,7-May-10,2870.85
NIFTY SMALLCAP 250,10-May-10,2938.01
NIFTY SMALLCAP 250,11-May-10,2913.76
NIFTY SMALLCAP 250,12-May-10,2914.89
NIFTY SMALLCAP 250,13-May-10,2937.09
NIFTY SMALLCAP 250,14-May-10,2900.83
NIFTY SMALLCAP 250,17-May-10,2883.54
NIFTY SMALLCAP 250,18-May-10,2895.92
NIFTY SMALLCAP 250,19-May-10,2828.81
NIFTY SMALLCAP 250,20-May-10,2823.83
NIFTY SMALLCAP 250,21-May-10,2784.7
NIFTY SMALLCAP 250,24-May-10,2790.45
NIFTY SMALLCAP 250,25-May-10,2704.06
NIFTY SMALLCAP 250,26-May-10,2745.5
NIFTY SMALLCAP 250,27-May-10,2769.9
NIFTY SMALLCAP 250,28-May-10,2807.81
NIFTY SMALLCAP 250,31-May-10,2836.16
NIFTY SMALLCAP 250,1-Jun-10,2809.09
NIFTY SMALLCAP 250,2-Jun-10,2825.64
NIFTY SMALLCAP 250,3-Jun-10,2853.94
NIFTY SMALLCAP 250,4-Jun-10,2854.43
NIFTY SMALLCAP 250,7-Jun-10,2817.57
NIFTY SMALLCAP 250,8-Jun-10,2795.25
NIFTY SMALLCAP 250,9-Jun-10,2800.16
NIFTY SMALLCAP 250,10-Jun-10,2835.97
