amfi_code,fund_name,aum_cr
153774,360 One Multi Asset Allocation Fund,225.43
152076,360 One Balanced Hybrid Fund,852.99
149318,360 One Quant Fund,872.53
131580,360 One Focused Fund,7355.36
151796,360 One Flexicap Fund,2096.13
151165,360 One Elss Tax Saver Nifty 50 Index Fund,92.66
153703,360 One Overnight Fund,211.99
125345,360 One Liquid Fund,956.42
122715,360 One Dynamic Bond Fund,643.28
154043,Abakkus Flexi Cap Fund,81.22
154051,Abakkus Liquid Fund,9.85
146575,Aditya Birla Sun Life Retirement Fund-The 30S Plan,426.83
146930,Aditya Birla Sun Life Retirement Fund-The 40S Plan,116.42
146940,Aditya Birla Sun Life Retirement Fund-The 50S Plan,26.6
146943,Aditya Birla Sun Life Retirement Fund-The 50S Plus-Debt Plan,16.84
146407,Aditya Birla Sun Life Bal Bhavishya Yojna,1185.56
153736,Aditya Birla Sun Life Bse 500 Momentum 50 Index Fund,59.53
153740,Aditya Birla Sun Life Bse 500 Quality 50 Index Fund,75.3
153081,Aditya Birla Sun Life Bse India Infrastructure Index Fund,30.55
150702,Aditya Birla Sun Life Crisil Ibx 50:50 Gilt Plus Sdl Apr 2028 Index Fund,370.02
150938,Aditya Birla Sun Life Crisil Ibx 60:40 Sdl + Aaa Psu Apr 2026 Index Fund,22.16
150353,Aditya Birla Sun Life Crisil Ibx 60:40 Sdl+Aaa Psu-Apr 2027 Index Fund,1512.98
151577,Aditya Birla Sun Life Crisil Ibx Gilt Apr 2028 Index Fund,20.76
152267,Aditya Birla Sun Life Crisil Ibx Gilt Apr 2033 Index Fund,77.31
152659,Aditya Birla Sun Life Crisil Ibx Gilt June 2027 Index Fund,11.89
150778,Aditya Birla Sun Life Crisil Ibx Gilt-Apr-2029 Index Fund,330.95
150698,Aditya Birla Sun Life Crisil Ibx Gilt-April 2026 Index Fund,215.0
151427,Aditya Birla Sun Life Crisil Ibx Sdl Jun 2032 Index Fund,157.55
153030,Aditya Birla Sun Life Crisil-Ibx Aaa Financial Services Index-Sep 2027 Fund,68.0
152958,Aditya Birla Sun Life Crisil-Ibx Aaa Nbfc-Hfc Index-Dec 2025 Fund,246.9
152947,Aditya Birla Sun Life Crisil-Ibx Aaa Nbfc-Hfc Index-Sep 2026 Fund,217.35
153179,Aditya Birla Sun Life Crisil-Ibx Financial Services 3 To 6 Months Debt Index Fund,3369.02
